Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
234,0,0,0.154697,0.155785
235,0,0,0.154697,0.155785
236,0,0,0.154697,0.155785
237,0,0,0.154697,0.155785
238,0,0,0.154697,0.155785
239,0,0,0.154697,0.155785
240,0,0,0.154697,0.155785
241,0,0,0.154697,0.155785
242,0,0,0.154697,0.155785
243,0,0,0.154697,0.155785
244,0,0,0.154697,0.155785
245,0,0,0.154697,0.155785
246,0,0,0.154697,0.155785
247,0,0,0.154697,0.155785
248,0,0,0.154697,0.155785
249,0,0,0.154697,0.155785
250,0,0,0.154697,0.155785
251,0,0,0.154697,0.155785
252,0,0,0.154697,0.155785
253,0,0,0.154697,0.155785
254,0,0,0.154697,0.155785
255,0,0,0.154697,0.155785
256,0,0,0.154697,0.155785
257,0,0,0.154697,0.155785
258,0,0,0.154697,0.155785
259,0,0,0.154697,0.155785
260,0,0,0.154697,0.155785
261,0,0,0.154697,0.155785
262,0,0,0.154697,0.155785
263,0,0,0.154697,0.155785
264,0,0,0.154697,0.155785
265,0,0,0.154697,0.155785
266,0,0,0.154697,0.155785
267,0,0,0.154697,0.155785
268,0,0,0.154697,0.155785
269,0,0,0.154697,0.155785
270,0,0,0.154697,0.155785
271,0,0,0.154697,0.155785
272,0,0,0.154697,0.155785
273,0,0,0.154697,0.155785
274,0,0,0.154697,0.155785
275,0,0,0.154697,0.155785
276,0,0,0.154697,0.155785
277,0,0,0.154697,0.155785
278,0,0,0.154697,0.155785
279,0,0,0.154697,0.155785
280,0,0,0.154697,0.155785
281,0,0,0.154697,0.155785
282,0,0,0.154697,0.155785
283,0,0,0.154697,0.155785
284,0,0,0.154697,0.155785
285,0,0,0.154697,0.155785
286,0,0,0.154697,0.155785
287,0,0,0.154697,0.155785
288,0,0,0.154697,0.155785
289,0,0,0.154697,0.155785
290,0,0,0.154697,0.155785
291,0,0,0.154697,0.155785
292,0,0,0.154697,0.155785
293,0,0,0.154697,0.155785
294,0,0,0.154697,0.155785
295,0,0,0.154697,0.155785
296,0,0,0.154697,0.155785
297,0,0,0.154697,0.155785
298,0,0,0.154697,0.155785
299,0,0,0.154697,0.155785
300,0,0,0.154697,0.155785
301,0,0,0.154697,0.155785
302,0,0,0.154697,0.155785
303,0,0,0.154697,0.155785
304,0,0,0.154697,0.155785
305,0,0,0.154697,0.155785
306,0,0,0.154697,0.155785
307,0,0,0.154697,0.155785
308,0,0,0.154697,0.155785
309,0,0,0.154697,0.155785
310,0,0,0.154697,0.155785
311,0,0,0.154697,0.155785
312,0,0,0.154697,0.155785
313,0,0,0.154697,0.155785
314,0,0,0.154697,0.155785
315,0,0,0.154697,0.155785
316,0,0,0.154697,0.155785
317,0,0,0.154697,0.155785
318,0,0,0.154697,0.155785
319,0,0,0.154697,0.155785
320,0,0,0.154697,0.155785
321,0,0,0.154697,0.155785
322,0,0,0.154697,0.155785
323,0,0,0.154697,0.155785
324,0,0,0.154697,0.155785
325,0,0,0.154697,0.155785
326,0,0,0.154697,0.155785
327,0,0,0.154697,0.155785
328,0,0,0.154697,0.155785
329,0,0,0.154697,0.155785
330,0,0,0.154697,0.155785
331,0,0,0.154697,0.155785
332,0,0,0.154697,0.155785
333,0,0,0.154697,0.155785
334,0,0,0.154697,0.155785
335,0,0,0.154697,0.155785
336,0,0,0.154697,0.155785
337,0,0,0.154697,0.155785
338,0,0,0.154697,0.155785
339,0,0,0.154697,0.155785
340,0,0,0.154697,0.155785
341,0,0,0.154697,0.155785
342,0,0,0.154697,0.155785
343,0,0,0.154697,0.155785
344,0,0,0.154697,0.155785
345,0,0,0.154697,0.155785
346,0,0,0.154697,0.155785
347,0,0,0.154697,0.155785
348,0,0,0.154697,0.155785
349,0,0,0.154697,0.155785
350,0,0,0.154697,0.155785
351,0,0,0.154697,0.155785
352,0,0,0.154697,0.155785
353,0,0,0.154697,0.155785
354,0,0,0.154697,0.155785
355,0,0,0.154697,0.155785
356,0,0,0.154697,0.155785
357,0,0,0.154697,0.155785
358,0,0,0.154697,0.155785
359,0,0,0.154697,0.155785
360,0,0,0.154697,0.155785
361,0,0,0.154697,0.155785
362,0,0,0.154697,0.155785
363,0,0,0.154697,0.155785
364,0,0,0.154697,0.155785
365,0,0,0.154697,0.155785
366,0,0,0.154697,0.155785
367,0,0,0.154697,0.155785
368,0,0,0.154697,0.155785
369,0,0,0.154697,0.155785
370,0,0,0.154697,0.155785
371,0,0,0.154697,0.155785
372,0,0,0.154697,0.155785
373,0,0,0.154697,0.155785
374,0,0,0.154697,0.155785
375,0,0,0.154697,0.155785
376,0,0,0.154697,0.155785
377,0,0,0.154697,0.155785
378,0,0,0.154697,0.155785
379,0,0,0.154697,0.155785
380,0,0,0.154697,0.155785
381,0,0,0.154697,0.155785
382,0,0,0.154697,0.155785
383,0,0,0.154697,0.155785
384,0,0,0.154697,0.155785
385,0,0,0.154697,0.155785
386,0,0,0.154697,0.155785
387,0,0,0.154697,0.155785
388,0,0,0.154697,0.155785
389,0,0,0.154697,0.155785
390,0,0,0.154697,0.155785
391,0,0,0.154697,0.155785
392,0,0,0.154697,0.155785
393,0,0,0.154697,0.155785
394,0,0,0.154697,0.155785
395,0,0,0.154697,0.155785
396,0,0,0.154697,0.155785
397,0,0,0.154697,0.155785
398,0,0,0.154697,0.155785
399,0,0,0.154697,0.155785
400,0,0,0.154697,0.155785
401,0,0,0.154697,0.155785
402,0,0,0.154697,0.155785
403,0,0,0.154697,0.155785
404,0,0,0.154697,0.155785
405,0,0,0.154697,0.155785
406,0,0,0.154697,0.155785
407,0,0,0.154697,0.155785
408,0,0,0.154697,0.155785
409,0,0,0.154697,0.155785
410,0,0,0.154697,0.155785
411,0,0,0.154697,0.155785
412,0,0,0.154697,0.155785
413,0,0,0.154697,0.155785
414,0,0,0.154697,0.155785
415,0,0,0.154697,0.155785
416,0,0,0.154697,0.155785
417,0,0,0.154697,0.155785
418,0,0,0.154697,0.155785
419,0,0,0.154697,0.155785
420,0,0,0.154697,0.155785
421,0,0,0.154697,0.155785
422,0,0,0.154697,0.155785
423,0,0,0.154697,0.155785
424,0,0,0.154697,0.155785
425,0,0,0.154697,0.155785
426,0,0,0.154697,0.155785
427,0,0,0.154697,0.155785
428,0,0,0.154697,0.155785
429,0,0,0.154697,0.155785
430,0,0,0.154697,0.155785
431,0,0,0.154697,0.155785
432,0,0,0.154697,0.155785
433,0,0,0.154697,0.155785
434,0,0,0.154697,0.155785
435,0,0,0.154697,0.155785
436,0,0,0.154697,0.155785
437,0,0,0.154697,0.155785
438,0,0,0.154697,0.155785
439,0,0,0.154697,0.155785
440,0,0,0.154697,0.155785
441,0,0,0.154697,0.155785
442,0,0,0.154697,0.155785
443,0,0,0.154697,0.155785
444,0,0,0.154697,0.155785
445,0,0,0.154697,0.155785
446,0,0,0.154697,0.155785
447,0,0,0.154697,0.155785
448,0,0,0.154697,0.155785
449,0,0,0.154697,0.155785
450,0,0,0.154697,0.155785
451,0,0,0.154697,0.155785
452,0,0,0.154697,0.155785
453,0,0,0.154697,0.155785
454,0,0,0.154697,0.155785
455,0,0,0.154697,0.155785
456,0,0,0.154697,0.155785
457,0,0,0.154697,0.155785
458,0,0,0.154697,0.155785
459,0,0,0.154697,0.155785
460,0,0,0.154697,0.155785
461,0,0,0.154697,0.155785
462,0,0,0.154697,0.155785
463,0,0,0.154697,0.155785
464,0,0,0.154697,0.155785
465,0,0,0.154697,0.155785
466,0,0,0.154697,0.155785
467,0,0,0.154697,0.155785
468,0,0,0.154697,0.155785
469,0,0,0.154697,0.155785
470,0,0,0.154697,0.155785
471,0,0,0.154697,0.155785
472,0,0,0.154697,0.155785
473,0,0,0.154697,0.155785
474,0,0,0.154697,0.155785
475,0,0,0.154697,0.155785
476,0,0,0.154697,0.155785
477,0,0,0.154697,0.155785
478,0,0,0.154697,0.155785
479,0,0,0.154697,0.155785
480,0,0,0.154697,0.155785
481,0,0,0.154697,0.155785
482,0,0,0.154697,0.155785
483,0,0,0.154697,0.155785
484,0,0,0.154697,0.155785
485,0,0,0.154697,0.155785
486,0,0,0.154697,0.155785
487,0,0,0.154697,0.155785
488,0,0,0.154697,0.155785
489,0,0,0.154697,0.155785
490,0,0,0.154697,0.155785
491,0,0,0.154697,0.155785
492,0,0,0.154697,0.155785
493,0,0,0.154697,0.155785
494,0,0,0.154697,0.155785
495,0,0,0.154697,0.155785
496,0,0,0.154697,0.155785
497,0,0,0.154697,0.155785
498,0,0,0.154697,0.155785
499,0,0,0.154697,0.155785
500,0,0,0.154697,0.155785

Training Complete!!! - > Elapsed Epochs: 500 Validation Set Accuracy: 0 Validation Set MSE: 0.161778
